dutch_word,english1,sentence1,english2,sentence2
"taxi","taxi","Ze namen een taxi naar huis.","cab","De taxi wachtte buiten."
"te (vz)","too","Het is te koud buiten.","to","Ze gingen te voet."
"te (bw)","too","Ze praat te veel.","overly","Het water is te heet."
"technisch","technical","Ze gaven een technisch verslag.","technological","
"teen","toe","Hij stootte zijn teen.","digit","De teen deed pijn."
"tegelijk","at the same time","Ze praatten tegelijk.","simultaneously","Hij werkte en luisterde tegelijk."
"tegen (vz)","against","Ze leunden tegen de muur.","towards","Ze spraken tegen elkaar."
"tegen (bw)","almost","Het was tegen donker toen ze aankwamen.","nearly","Het liep tegen middernacht."
"tegenover (vz)","opposite","Ze zaten tegenover elkaar.","across from","Het café ligt tegenover het station."
"tegenover (bw)","in contrast","Tegenover zijn broer is hij stil.","compared to","Hij is groot tegenover haar."
"tegenstander","opponent","Zijn tegenstander was sterk.","adversary","De tegenstander verloor het spel."
"tegenstelling","contrast","Er is een tegenstelling tussen arm en rijk.","opposition","De tegenstelling was duidelijk."
"tegenvallen","to disappoint","Het weer viel tegen.","to be worse than expected","Het resultaat viel tegen."
"tegenwoordig","nowadays","Tegenwoordig reizen veel mensen.","currently","Hij is tegenwoordig leraar."
"teken (het)","sign","Dat is een goed teken.","symbol","Een teken van hoop."
"tekenen","to draw","Ze wil graag tekenen.","to sign","Hij moest het contract tekenen."
"tekst","text","De tekst van het lied is mooi.","writing","Hij las de tekst hardop."
"telefoneren","to telephone","Ze moesten nog telefoneren.","to call","Hij telefoneerde naar huis."
"telefoon","telephone","De telefoon ging over.","phone","Hij belde op de telefoon."
"teleurstelling","disappointment","De nederlaag was een teleurstelling.","letdown","Ze voelde teleurstelling."
"televisie","television","Ze keken televisie.","TV","De televisie stond aan."
"telkens","every time","Telkens kwam hij te laat.","repeatedly","Ze zagen hem telkens weer."
"tellen","to count","Ze begonnen de stemmen te tellen.","to number","Het boek telt tien hoofdstukken."
"ten","at the","Ze gingen ten onder.","in the","Ten slotte won hij."
"tenminste","at least","Er waren tenminste tien mensen.","anyway","Tenminste, dat dacht ik."
"tenslotte","finally","Tenslotte gingen ze naar huis.","in conclusion","Tenslotte, dat is duidelijk."
"tentoonstelling","exhibition","Ze bezochten een tentoonstelling.","show","De tentoonstelling was druk."
"ter","at","Ter plaatse was het druk.","for","Ter ere van het feest."
"terecht","rightly","Ze werd terecht boos.","justified","Hij was terecht trots."
"term","term","Deze term is moeilijk.","expression","Ze zochten de term op."
"terrein (het)","area","Het terrein is groot.","site","Ze werkten op het terrein."
"terug","back","Hij kwam terug naar huis.","again","Ze belden terug."
"terugkeren","to return","Ze moesten snel terugkeren.","to come back","Hij keerde terug naar school."
"terugkomen","to come back","Wanneer kom je terug?","to return","Ze kwamen terug van vakantie."
"terwijl","while","Ze lachte terwijl ze liep.","whereas","Hij werkte, terwijl zij sliep."
"test","test","Ze deden een test.","exam","De test was moeilijk."
"tevens","also","Ze waren tevens vrienden.","as well","Tevens was er muziek."
"tevoren","beforehand","Ze wisten het van tevoren.","previously","Tevoren spraken ze af."
"tevreden","satisfied","Ze was tevreden met het resultaat.","content","Hij is tevreden over zijn werk."
"thans","now","Thans is dat verboden.","currently","Thans zijn ze hier."
"thee","tea","Ze drinken graag thee.","herbal drink","Een kopje thee stond klaar."
"theorie","theory","De theorie klopt niet.","concept","Ze leren de theorie."
"thuis","home","Ze voelen zich thuis.","at home","Hij is thuis gebleven."
"thuiskomen","to come home","Hij wil vroeg thuiskomen.","to return home","Ze kwamen laat thuiskomen."
"tientje (het)","tenner","Ze gaf hem een tientje.","ten-guilder note","Een tientje in haar portemonnee."
"tijd","time","De tijd vliegt.","period","Hij heeft geen tijd."
"tijdens","during","Tijdens de vakantie regende het.","while","Tijdens de les was het stil."
"titel","title","De titel van het boek is bekend.","heading","Ze bedachten een nieuwe titel."
"toch","still","Het regende, toch gingen ze wandelen.","however","Toch is het mogelijk."
"tocht","trip","Ze maakten een tocht door het bos.","journey","De tocht was lang."
"toe","towards","Ze kwamen op me toe.","closed","Doe de deur toe."
"toegeven","to admit","Hij moest de fout toegeven.","to confess","Ze gaf haar geheim toe."
"toekomst","future","De toekomst is onzeker.","time to come","Ze spraken over de toekomst."
"toelaten","to allow","Ze mochten niet naar binnen toelaten.","to admit","De school liet hem toe."
"toen (bw)","then","Toen begon het te regenen.","at that time","Hij was toen klein."
"toen (vw)","when","Toen ik kwam, was hij weg.","as","Ze lachten toen ze binnenkwamen."
"toepassen","to apply","Ze moesten een regel toepassen.","to implement","Hij paste de theorie toe."
"toepassing","application","De toepassing van deze methode is breed.","use","Ze vonden een nieuwe toepassing."
"toerist","tourist","De toerist vroeg de weg.","visitor","Er kwamen veel toeristen."
"toestand","condition","De toestand van de patiënt is stabiel.","state","De toestand van de economie is zorgelijk."
"toestemming","permission","Ze hadden toestemming nodig.","consent","Hij gaf toestemming om te vertrekken."
"toevallig","coincidentally","We kwamen toevallig oude vrienden tegen.","by chance","Het was toevallig dat hij daar was."
"toevoegen","to add","Wil je nog suiker toevoegen?","to include","Ze voegden een hoofdstuk toe."
"tolk","interpreter","De tolk vertaalde de toespraak.","translator","Ze huurden een tolk in."
"ton","ton","De ton stond in de schuur.","barrel","Ze vulden een ton met water."
"toneel (het)","stage","Ze stonden op het toneel.","theater","Het toneelstuk begon om acht uur."
"tonen","to show","Ze wilden hun werk tonen.","to display","Hij toonde trots zijn medaille."
"toon","tone","De toon van de brief was vriendelijk.","note","Ze zongen een hoge toon."
"top","top","Ze bereikten de top van de berg.","summit","Het boek stond bovenaan de top tien."
"toren","tower","De toren is oud.","steeple","Ze beklommen de toren."
"tot (vz)","until","Ze werkten tot laat in de avond.","up to","Tot hier en niet verder."
"tot (vw)","so that","Hij sprak hard, tot iedereen het hoorde.","that","Ze lachten, tot ze moe waren."
"totaal (het)","total","Het totaal is honderd euro.","sum","Het totaal van de punten was hoog."
"totaal","totally","Ze waren totaal verrast.","completely","Het was totaal anders."
"touw (het)","rope","Hij bond het touw vast.","cord","Ze gebruikten een touw om te klimmen."
"traan","tear","Er rolde een traan over haar wang.","drop","Ze veegde een traan weg."
"trachten","to attempt","Ze trachtten hem te helpen.","to try","Hij trachtte rustig te blijven."
"traditioneel","traditional","Ze vieren een traditioneel feest.","conventional","Het eten was traditioneel."
"tram","tram","Ze namen de tram naar het centrum.","streetcar","De tram was druk."
"trap","stairs","Ze liepen de trap op.","step","De trap naar de zolder is steil."
"treden","to step","Ze mochten het podium betreden.","to act","Hij trad op als gastheer."
"treffen","to hit","De bal trof het doel.","to meet","Ze troffen elkaar in het park."
"trekken","to pull","Ze moesten hard trekken aan het touw.","to draw","Hij trok een lijn op papier."
"troep","mess","De kamer lag vol troep.","troops","De troep marcheerde voorbij."
"trots","proud","Hij was trots op zijn dochter.","pride","Trots straalde van haar gezicht."
"trouw","faithful","Ze is een trouwe vriendin.","loyal","De hond is trouw aan zijn baas."
"trouwen","to marry","Ze willen volgend jaar trouwen.","to wed","Ze trouwden in juni."
"trouwens","by the way","Trouwens, hoe gaat het met je?","incidentally","Trouwens, dat wist ik al."
"trui","sweater","Ze droeg een warme trui.","jumper","Hij kocht een nieuwe trui."
"tussen (vz)","between","De bal ligt tussen de stoelen.","among","Ze zaten tussen vrienden."
"tussen (bw)","in between","Er zat een pauze tussen.","intermittently","Ze kwamen tussen door."
"t.v. / tv.","television","Ze kijken tv in de avond.","TV","De tv stond aan."
"twijfel","doubt","Er is geen twijfel mogelijk.","uncertainty","Ze had veel twijfel."
"type (het)","type","Welk type auto heb je?","kind","Hij is een rustig type."
"typisch","typical","Dat is typisch Nederlands.","characteristic","Ze heeft een typisch accent."
"u (pers vnw)","you","Kunt u mij helpen?","you (formal)","Heeft u dat gezien?"
"u (wederk vnw)","yourself","U moet zich melden bij de balie.","oneself","U vergist zich."
"uit (vz)","out of","Ze namen water uit de bron.","from","Hij kwam uit Nederland."
"uit (bw)","out","Het licht is uit.","off","Ze deden het vuur uit."
"uitbreiden","to expand","Ze willen de winkel uitbreiden.","to enlarge","Het bedrijf breidt snel uit."
"uitdelen","to hand out","Ze deelden folders uit.","to distribute","De docent deelde toetsen uit."
"uitdoen","to take off","Hij deed zijn jas uit.","to turn off","Ze deed het licht uit."
"uitdrukken","to express","Ze kon zich niet goed uitdrukken.","to state","Hij drukte zijn mening uit."
"uitdrukking","expression","Zijn uitdrukking was vrolijk.","phrase","Ze gebruiken een uitdrukking vaak."
"uiteindelijk","eventually","Uiteindelijk kwamen ze op tijd.","in the end","Ze bereikten uiteindelijk hun doel."
"uiteraard","of course","Uiteraard kom ik morgen.","naturally","Uiteraard is dat zo."
"uiterst","extremely","Hij is uiterst voorzichtig.","very","Uiterst weinig mensen kwamen."
"uitgaan","to go out","Ze willen uitgaan in de stad.","to assume","We gaan ervan uit dat het klopt."
"uitgang","exit","Waar is de uitgang?","way out","Ze zochten de uitgang."
"uitgeven","to spend","Ze gaven veel geld uit.","to publish","Hij gaf een boek uit."
"uitkijken","to watch out","Kijk uit voor de auto!","to look forward to","Ik kijk uit naar vakantie."
"uitkleden","to undress","Ze moest het kind uitkleden.","to strip","Hij kleedde zich uit."
"uitkomen","to come out","De film komt volgende week uit.","to turn out","Het plan kwam goed uit."
"uitleggen","to explain","Ze legde de som uit.","to clarify","Kun je dat uitleggen?"
"uitmaken","to make up","Ze maakten het uit.","to matter","Dat maakt niet uit."
"uitnodigen","to invite","Ze willen vrienden uitnodigen.","to ask over","Hij nodigde hen uit."
"uitoefenen","to practice","Ze oefenen hun beroep uit.","to exert","Hij oefende druk uit."
"uitsluitend","exclusively","Dit aanbod is uitsluitend voor leden.","only","Ze richtten zich uitsluitend op één ding."
"uitspraak","pronunciation","Zijn uitspraak was goed.","statement","Ze deden een uitspraak."
"uitspreken","to pronounce","Ze konden het woord uitspreken.","to declare","Hij sprak zijn mening uit."
"uitstappen","to get off","Ze moesten bij de volgende halte uitstappen.","to alight","Ze stapten uit de bus."
"uitsteken","to stick out","Zijn oren steken uit.","to excel","Hij stak met kop en schouders uit."
"uitstekend","excellent","Het eten was uitstekend.","great","Ze gaven een uitstekend cijfer."
"uittrekken","to take off","Hij trok zijn schoenen uit.","to pull out","Ze trokken onkruid uit."
"uitvoeren","to perform","Ze willen dit plan uitvoeren.","to carry out","Hij voerde de opdracht uit."
"uitvoerig","extensive","Ze gaven een uitvoerig verslag.","detailed","Het rapport is uitvoerig."
"uitvoering","execution","De uitvoering was perfect.","performance","Ze genoten van de uitvoering."
"uitzending","broadcast","De uitzending begon om acht uur.","transmission","Ze keken naar de uitzending."
"uitzendkracht","temporary worker","De uitzendkracht hielp een dag mee.","temp","Het bedrijf huurde uitzendkrachten."
"uitzien","to look","Hij ziet er moe uit.","to expect","Ze zagen uit naar de vakantie."
"uitzoeken","to sort out","Ze moesten de papieren uitzoeken.","to find out","Hij zocht het probleem uit."
"universiteit","university","Ze studeert aan de universiteit.","college","De universiteit is groot."
"uur (het)","hour","Een uur heeft zestig minuten.","time","Om welk uur kom je?"
"uw","your","Uw huis is mooi.","yours","Is dat uw auto?"
"vaag","vague","Zijn uitleg was vaag.","unclear","Ze vond het plan vaag."
"vaak","often","Ze gaan vaak op reis.","frequently","Vaak werken ze samen."
"vaas","vase","De bloemen staan in een vaas.","jar","Ze zette water in de vaas."
"vader","father","Mijn vader werkt hard.","dad","Zijn vader is vriendelijk."
"vak (het)","subject","Welk vak vind je leuk?","compartment","Ze stopten iets in het vak."
"vakantie","holiday","Ze gaan op vakantie naar Spanje.","vacation","Vakantie duurt drie weken."
"vallen","to fall","Ze viel van de fiets.","to drop","De bladeren vallen in de herfst."
"van","of","Het boek van Jan ligt daar.","from","Ze komen van het strand."
"vanaf","from","Vanaf hier kun je het zien.","as of","Vanaf morgen is hij vrij."
"vanavond","tonight","Ze komen vanavond langs.","this evening","Vanavond eten we samen."
"vandaag","today","Ze zijn vandaag vrij.","this day","Vandaag begint het feest."
"vandaan","from","Waar kom je vandaan?","off","Ze kwamen van ver vandaan."
"vandaar","therefore","Hij was ziek, vandaar dat hij niet kwam.","hence","Vandaar het briefje."
"vangen","to catch","Ze konden de bal niet vangen.","to capture","Hij ving een vis."
"vanmiddag","this afternoon","Ze komen vanmiddag langs.","in the afternoon","Vanmiddag werken we door."
"vanmorgen","this morning","Vanmorgen regende het.","earlier today","Vanmorgen belde hij."
"vannacht","tonight","Vannacht was er een storm.","last night","Ze werkten vannacht door."
"vanwege","because of","Vanwege het weer bleven ze binnen.","due to","Vanwege drukte kon hij niet komen."
"vanzelf","automatically","De deur ging vanzelf open.","by itself","Het gebeurde vanzelf."
"vanzelfsprekend","self-evident","Het is vanzelfsprekend dat je komt.","obvious","Vanzelfsprekend hielp hij mee."
"varen","to sail","Ze willen naar zee varen.","to travel by boat","Hij vaart elke zomer."
"vast","fixed","Het plan staat vast.","secure","Hij hield het vast."
"vaststellen","to determine","Ze moesten de oorzaak vaststellen.","to establish","Hij stelde de regels vast."
"vechten","to fight","Ze begonnen te vechten.","to battle","Hij vocht dapper."
"veel (bw)","much","Er is veel te doen.","a lot","Hij werkt veel."
"veel (telw)","many","Er waren veel mensen.","numerous","Veel kinderen speelden buiten."
"veilig","safe","Ze voelden zich veilig.","secure","Veilig verkeer is belangrijk."
"veld (het)","field","Ze speelden op het veld.","meadow","Het veld was groen."
"vent","guy","Hij is een aardige vent.","man","Die vent ken ik."
"ver","far","Ze wonen ver weg.","distant","Het is ver rijden."
"veranderen","to change","Ze wilden het systeem veranderen.","to alter","Hij veranderde van plan."
"verandering","change","Er was een plotselinge verandering.","shift","Ze merkten een verandering."
"verband (het)","connection","Er is een verband tussen de zaken.","bandage","Het verband zat om zijn arm."
"verbazen","to amaze","Het nieuws verbaasde iedereen.","to astonish","Hij verbaasde zich."
"verbergen","to hide","Ze wilden hun gevoelens verbergen.","to conceal","Hij verborg een geheim."
"verbieden","to forbid","Ze verbieden roken in de trein.","to prohibit","Het is verboden toegang."
"verbinden","to connect","Ze konden de computers verbinden.","to link","Hij verbond de kabels."
"verblijf (het)","stay","Ze genoten van hun verblijf.","residence","Het verblijf was kort."
"verboden","forbidden","Het is verboden te parkeren.","not allowed","Verboden toegang staat op het bord."
"verdelen","to divide","Ze moesten het geld verdelen.","to share","Hij verdeelde de taken."
"verder","further","Ze gingen verder met het werk.","beyond","Verder was alles goed."
"verdienen","to earn","Ze verdienen veel geld.","to deserve","Hij verdiende applaus."
"verdienste","merit","Zijn verdiensten zijn groot.","achievement","Dat is zijn verdienste."
"verdriet (het)","grief","Ze voelden veel verdriet.","sorrow","Het verdriet was groot."
"verdwijnen","to disappear","De zon verdwijnt achter de wolken.","to vanish","Hij verdween plotseling."
"verenigen","to unite","De partijen willen zich verenigen.","to join","Ze verenigden zich."
"vereniging","association","Ze zijn lid van een vereniging.","club","De vereniging organiseert feesten."
"vergadering","meeting","De vergadering begint om tien uur.","assembly","Ze houden een vergadering."
"vergelijken","to compare","Ze vergeleken de resultaten.","to match","Hij vergeleek prijzen."
"vergelijking","comparison","De vergelijking is duidelijk.","equation","Hij maakte een vergelijking."
"vergeten","to forget","Ze vergat haar tas.","to leave behind","Hij was het vergeten."
"vergissen","to be mistaken","Ze vergiste zich in de datum.","to make a mistake","Hij vergiste zich vaak."
"verhaal (het)","story","Ze lezen een spannend verhaal.","tale","Het verhaal gaat over liefde."
"verheugen","to look forward to","Ze verheugen zich op vakantie.","to be glad","Hij verheugde zich op het feest."
"verhogen","to increase","Ze willen de prijzen verhogen.","to raise","Hij verhoogde zijn stem."
"verhouding","relationship","Ze hebben een goede verhouding.","ratio","De verhouding was gelijk."
"verhuizen","to move","Ze willen naar een groter huis verhuizen.","to relocate","Hij verhuisde naar Spanje."
"verhuren","to rent out","Ze verhuren kamers.","to lease","Hij verhuurde zijn huis."
"verkeer (het)","traffic","Het verkeer staat vast.","transport","Ze keken naar het verkeer."
"verkeerd","wrong","Dat is verkeerd.","incorrect","Ze gingen de verkeerde weg."
"verkeren","to be","Ze verkeren in goede gezondheid.","to find oneself","Hij verkeerde in moeilijkheden."
"verkiezing","election","De verkiezing was spannend.","vote","Ze wonnen de verkiezingen."
"verklaren","to explain","Ze konden niets verklaren.","to declare","Hij verklaarde zijn liefde."
"verklaring","statement","De verklaring werd ondertekend.","declaration","Ze gaven een verklaring af."
"verkopen","to sell","Ze verkopen fruit op de markt.","to trade","Hij verkocht zijn auto."
"verkouden","to have a cold","Hij is verkouden.","snuffly","Ze is vaak verkouden in de winter."
"verkrijgen","to obtain","Ze willen informatie verkrijgen.","to get","Hij verkreeg een vergunning."
"verlangen (het)","desire","Zijn verlangen was groot.","wish","Het verlangen naar rust was sterk."
"verlangen","to long","Ze verlangen naar vakantie.","to wish","Hij verlangde naar haar."
"verlaten","to leave","Ze moesten de stad verlaten.","to abandon","Hij verliet zijn huis."
"verleden (het)","past","Het verleden blijft belangrijk.","history","In het verleden was het anders."
"verlenen","to grant","Ze willen hulp verlenen.","to provide","Hij verleende steun."
"verlies (het)","loss","Ze leden een groot verlies.","defeat","Het verlies was pijnlijk."
"verliezen","to lose","Ze willen niet verliezen.","to misplace","Hij verloor zijn sleutels."
"vermelden","to mention","Ze willen niets vermelden.","to report","Hij vermeldde het nieuws."
"vermoedelijk","probably","Ze komen vermoedelijk morgen.","likely","Vermoedelijk is het waar."
"vermoeden","to suspect","Ik vermoed dat hij liegt.","to guess","Ze vermoeden iets."
"vermoeden (het)","suspicion","Er was een vermoeden van fraude.","assumption","Zijn vermoeden was juist."
"vernemen","to learn","Ze vernamen het nieuws.","to hear","Hij vernam een gerucht."
"verontschuldiging","apology","Ze stuurden een verontschuldiging.","excuse","Hij maakte een verontschuldiging."
"veroorzaken","to cause","Roken kan schade veroorzaken.","to bring about","Het ongeluk werd veroorzaakt door ijs."
"verplegen","to nurse","Ze moesten hem verplegen.","to care for","De zuster verpleegde de patiënt."
"verplichten","to oblige","Ze zijn verplicht te betalen.","to require","Hij verplichtte hen tot stilte."
"verrassing","surprise","Het feestje was een verrassing.","unexpected event","Wat een leuke verrassing!"
"verrichten","to perform","Ze verrichtten goed werk.","to do","Hij verrichtte onderzoek."
"vers","fresh","Het brood is vers.","new","Ze schreven een vers gedicht."
"verscheiden","several","Er zijn verscheidene redenen.","various","Ze kochten verscheidene boeken."
"verschijnen","to appear","De zon verscheen tussen de wolken.","to show up","Hij verscheen op tijd."
"verschijnsel (het)","phenomenon","Regenbogen zijn een bijzonder verschijnsel.","occurrence","Een verschijnsel in de natuur."
"verschil (het)","difference","Wat is het verschil tussen die twee?","gap","Een groot verschil in leeftijd."
"verschillen","to differ","De meningen verschillen.","to vary","Ze verschillen van elkaar."
"verschillend","different","Ze hebben verschillende meningen.","various","Ze wonen in verschillende steden."
"verschrikkelijk","terrible","Het weer was verschrikkelijk.","horrible","Ze maakten een verschrikkelijke fout."
"verstaan","to understand","Kun je me verstaan?","to comprehend","Hij verstond alles goed."
"verstand (het)","mind","Hij heeft een helder verstand.","intellect","Ze gebruiken hun verstand."
"verstandig","sensible","Dat is een verstandige keuze.","wise","Ze gaven een verstandig advies."
"versterken","to strengthen","Ze wilden de brug versterken.","to reinforce","Hij versterkte zijn argumenten."
"vertalen","to translate","Ze moesten de tekst vertalen.","to interpret","Hij vertaalde het boek naar Engels."
"verte","distance","In de verte zagen we bergen.","faraway","Ze staarden in de verte."
"vertegenwoordiger","representative","De vertegenwoordiger sprak met de klanten.","agent","Ze stuurden een vertegenwoordiger naar het congres."
"vertellen","to tell","Hij wilde een verhaal vertellen.","to narrate","Ze vertelde alles wat ze wist."
"vertonen","to show","Ze vertonen de film vanavond.","to display","Hij vertoonde vreemd gedrag."
"vertrek (het)","departure","Het vertrek van de trein is om acht uur.","room","Het vertrek was groot en licht."
"vertrekken","to leave","Ze vertrekken morgen naar Frankrijk.","to depart","Het vliegtuig vertrekt op tijd."
"vertrouwen","to trust","Ze vertrouwen elkaar volledig.","to rely on","Hij vertrouwt zijn vrienden."
"vertrouwen (het)","trust","Hun vertrouwen in elkaar was groot.","confidence","Ze hebben veel vertrouwen in het team."
"vervangen","to replace","Ze moesten de lamp vervangen.","to substitute","Hij verving zijn collega."
"vervelen","to bore","Het lange verhaal begon te vervelen.","to annoy","Ze verveelde zich in de les."
"vervelend","annoying","Het is vervelend als het regent.","tedious","Ze vond de film vervelend."
"vervoer (het)","transport","Het vervoer per bus is geregeld.","transportation","Ze spraken over openbaar vervoer."
"vervolgen","to continue","Ze willen met de les vervolgen.","to prosecute","Hij werd vervolgd voor diefstal."
"vervullen","to fulfill","Ze konden hun wensen vervullen.","to carry out","Hij vervulde zijn taak goed."
"verwachten","to expect","Ze verwachten veel bezoekers.","to anticipate","Hij verwacht een antwoord."
"verwachting","expectation","De verwachtingen waren hoog gespannen.","hope","In verwachting zijn betekent zwanger zijn."
"verwarming","heating","De verwarming staat aan.","heater","Ze zetten de verwarming hoger."
"verwijderen","to remove","Ze moesten de vlek verwijderen.","to delete","Hij verwijderde de bestanden."
"verwonderen","to amaze","Ze verwonderden zich over het uitzicht.","to marvel","Hij verwonderde zich over haar kennis."
"verzamelen","to collect","Ze verzamelen postzegels.","to gather","Hij verzamelde gegevens."
"verzekeren","to insure","Ze wilden hun huis verzekeren.","to assure","Hij verzekerde haar dat het goed kwam."
"verzet (het)","resistance","Ze boden verzet tegen de vijand.","opposition","Het verzet groeide."
"verzetten","to move","Ze moesten de kast verzetten.","to resist","Hij verzette zich tegen de plannen."
"verzoek (het)","request","Hij deed een vriendelijk verzoek.","petition","Ze stuurden een verzoek om hulp."
"verzorgen","to take care of","Ze verzorgen hun kinderen goed.","to nurse","Hij verzorgde zijn zieke moeder."
"vestigen","to establish","Ze willen zich in de stad vestigen.","to settle","Het bedrijf vestigde zich daar."
"via","via","Ze reisden via Parijs.","through","Ze stuurden het via de post."
"vieren","to celebrate","Ze willen hun verjaardag vieren.","to commemorate","Hij vierde zijn promotie."
"vierkant (het)","square","Het plein is een groot vierkant.","square shape","Een vierkant heeft vier gelijke zijden."
"vierkant","square","De tafel is vierkant.","straightforward","Ze gaven een vierkant antwoord."
"vies","dirty","De vloer is vies.","nasty","Ze vonden het eten vies."
"vijand","enemy","Ze vochten tegen de vijand.","foe","De vijand naderde snel."
"vinden","to find","Ze kon haar sleutel niet vinden.","to think","Ik vind dat een goed idee."
"vinger","finger","Hij sneed zijn vinger.","digit","Ze wees met haar vinger."
"vis","fish","Ze vingen een grote vis.","fish meat","Vis is gezond."
"vlak (het)","surface","Het vlak van het bord is glad.","area","Ze tekenden een vlak."
"vlak","flat","Het land is vlak.","just","Vlak na het eten gingen ze wandelen."
"vlees (het)","meat","Ze aten vlees bij het avondeten.","flesh","Het vlees was mals."
"vliegen","to fly","De vogels vliegen hoog.","to travel by plane","Hij vloog naar Parijs."
"vliegtuig (het)","airplane","Het vliegtuig landde op tijd.","plane","Ze zaten in een groot vliegtuig."
"vloer","floor","Het boek ligt op de vloer.","ground","Ze veegden de vloer schoon."
"vluchten","to flee","Ze moesten vluchten voor de storm.","to escape","De gevangene vluchtte."
"vlug","quick","Hij liep vlug naar huis.","fast","Ze werkte vlug en netjes."
"voelen","to feel","Ze konden de kou voelen.","to sense","Ik voel dat het goed komt."
"voeren","to carry","Ze voerden de gewonden weg.","to conduct","Ze voeren een gesprek."
"voet","foot","Ze stond op één voet.","leg","Ze hadden pijn aan hun voet."
"voetballen","to play soccer","Ze voetballen in het park.","to play football","Hij voetbalt elk weekend."
"vogel","bird","Een vogel vloog voorbij.","avian","Ze zagen een kleurrijke vogel."
"vol","full","De fles is vol.","complete","Ze hadden hun handen vol."
"voldoen","to satisfy","De cursus voldoet aan de eisen.","to comply","Ze voldeden aan de regels."
"voldoende","sufficient","Ze hadden voldoende eten.","enough","Een voldoende is een voldoende score op school."
"volgen","to follow","Ze volgden de leraar.","to track","Hij volgde het nieuws."
"volgend","next","Volgend jaar gaan ze trouwen.","following","De volgende stap is belangrijk."
"volgens","according to","Volgens de regels mag het niet.","by","Volgens mij klopt het."
"volk (het)","people","Het volk juichte.","nation","Het Franse volk vierde feest."
"volkomen","completely","Ze waren volkomen uitgeput.","entirely","Het was volkomen rustig."
"volledig","complete","Het rapport is volledig.","entire","Ze gaven een volledig overzicht."
"voor (vz)","for","Dit cadeau is voor jou.","in front of","Ze stonden voor het huis."
"voor (bw)","before","Ze gingen voor eten naar huis.","ahead","De auto reed voor ons."
"voor (vw)","before","Voordat we gaan, drinken we koffie.","in order to","Hij sprak voor hij dacht."
"vooral","especially","Ze houden vooral van muziek.","mainly","Vooral kinderen vonden het leuk."
"voorbeeld (het)","example","Kun je een voorbeeld geven?","instance","Dit is een goed voorbeeld."
"voorbereiden","to prepare","Ze moesten zich voorbereiden op het examen.","to get ready","Hij bereidde het eten voor."
"voorbij (vz)","past","Ze liepen voorbij het huis.","over","Ze fietsten voorbij de winkel."
"voorbij (bn/bw)","over","Het is al voorbij.","finished","De vakantie is voorbij."
"voordat","before","Voordat we vertrekken, drinken we koffie.","prior to","Voordat hij sprak, keek hij rond."
"voordeel (het)","advantage","Het voordeel van vroeg opstaan is meer tijd.","benefit","Ze hadden voordeel van hun ervaring."
"voorgrond","foreground","De bloemen staan op de voorgrond.","front","De kat liep op de voorgrond."
"voorheen","previously","Voorheen werkte ze in Amsterdam.","formerly","Ze woonden voorheen in Parijs."
"voorjaar (het)","spring","Het voorjaar begint in maart.","springtime","Ze genieten van het voorjaar."
"voorkomen","to prevent","Ze willen fouten voorkomen.","to occur","Zoiets komt vaak voor."
"voorlopig","for now","We blijven voorlopig hier.","temporary","Het plan is voorlopig uitgesteld."
"voornaam (bn)","important","Dat is een voornaam doel.","notable","Zijn voornaamste zorg is gezondheid."
"voorstander","supporter","Ze is een voorstander van verandering.","proponent","Hij was altijd een sterke voorstander."
"voorstel (het)","proposal","Ze deden een voorstel aan de baas.","suggestion","Het voorstel werd goedgekeurd."
"voorstellen","to introduce","Mag ik je voorstellen aan mijn vriend?","to propose","Ze stelde een oplossing voor."
"voorstelling","performance","De voorstelling begon om acht uur.","idea","Ze hadden een andere voorstelling van de situatie."
"voortdurend","continually","Ze waren voortdurend bezig.","constantly","Het geluid was voortdurend aanwezig."
"voortzetten","to continue","Ze wilden hun werk voortzetten.","to resume","Het gesprek werd voortgezet."
"vooruit","ahead","Kijk vooruit als je fietst.","forward","Ze keken vooruit naar de toekomst."
"voorwaarde","condition","De voorwaarde voor deelname is duidelijk.","requirement","Er zijn enkele voorwaarden gesteld."
"voorwerp (het)","object","Op tafel lag een vreemd voorwerp.","thing","Ze keken naar het voorwerp."
"voorzichtig","careful","Wees voorzichtig met glas.","cautious","Hij sprak voorzichtig."
"voorzien","to provide","Ze konden in alles voorzien.","to foresee","Ze konden het niet voorzien."
"voorzitter","chairperson","De voorzitter opende de vergadering.","president","Ze kozen een nieuwe voorzitter."
"voren","forward","Ze liepen naar voren.","ahead","Hij keek naar voren."
"vorig","previous","Het vorige hoofdstuk was kort.","last","Vorige week gingen ze uit."
"vork","fork","Ze legde een vork naast het bord.","utensil","Ze aten met mes en vork."
"vorm","shape","De vorm van het gebouw is apart.","form","Ze kozen een ronde vorm."
"vormen","to form","Ze willen een team vormen.","to create","De wolken vormden figuren."
"vraag","question","Ze stelde een moeilijke vraag.","request","Ze hadden een vraag om hulp."
"vrachtwagen","truck","De vrachtwagen stond voor het huis.","lorry","Ze laadden spullen in de vrachtwagen."
"vragen","to ask","Ze willen iets vragen.","to request","Hij vroeg om een gunst."
"vrede","peace","Ze hopen op vrede.","tranquility","Ze spraken over vrede in de wereld."
"vreemd","strange","Hij droeg een vreemd hoedje.","foreign","Ze bezochten een vreemd land."
